Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Label
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,830,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,851,890,864,normal
820,829,852,890,864,normal
820,829,852,890,865,normal
820,829,852,890,864,normal
820,829,852,891,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,830,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,865,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,891,864,normal
819,829,852,890,864,normal
820,829,851,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,891,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
819,829,852,890,864,normal
820,829,852,890,864,normal
820,829,851,890,864,normal
819,829,851,890,864,กำหมัด
820,829,852,890,864,กำหมัด
819,829,852,890,864,กำหมัด
820,829,852,890,864,กำหมัด
820,829,852,891,864,กำหมัด
819,829,852,890,864,กำหมัด
820,829,852,890,864,กำหมัด
819,829,852,890,864,กำหมัด
817,824,844,885,863,กำหมัด
817,824,844,885,864,กำหมัด
817,822,839,882,863,กำหมัด
817,820,838,881,860,กำหมัด
811,783,806,866,828,กำหมัด
801,688,727,839,777,กำหมัด
778,614,685,825,745,กำหมัด
761,598,671,823,739,กำหมัด
744,586,664,821,734,กำหมัด
734,578,658,819,731,กำหมัด
724,573,653,817,731,กำหมัด
720,576,653,818,739,กำหมัด
726,583,657,819,741,กำหมัด
731,588,659,821,744,กำหมัด
734,591,662,822,745,กำหมัด
735,594,665,823,747,กำหมัด
737,597,666,824,748,กำหมัด
738,599,669,825,749,กำหมัด
739,601,670,825,749,กำหมัด
739,603,670,825,751,กำหมัด
739,605,671,825,752,กำหมัด
740,606,672,826,752,กำหมัด
741,607,673,826,753,กำหมัด
742,608,674,826,753,กำหมัด
743,609,675,827,754,กำหมัด
742,611,676,827,755,กำหมัด
743,612,677,828,756,กำหมัด
744,613,677,828,756,กำหมัด
744,614,678,828,756,กำหมัด
744,614,678,828,757,กำหมัด
744,616,679,828,757,กำหมัด
743,617,679,828,757,กำหมัด
744,617,680,829,758,กำหมัด
744,618,681,829,758,กำหมัด
744,619,682,829,759,กำหมัด
748,625,684,830,761,กำหมัด
750,626,686,830,761,กำหมัด
750,628,687,830,761,กำหมัด
749,628,686,830,761,กำหมัด
749,629,687,830,761,กำหมัด
748,630,688,830,761,กำหมัด
748,632,689,831,761,กำหมัด
747,639,693,831,761,กำหมัด
744,639,693,830,760,กำหมัด
740,639,692,831,760,กำหมัด
743,640,692,831,761,กำหมัด
745,641,693,831,761,กำหมัด
746,641,693,831,761,กำหมัด
747,641,694,831,761,กำหมัด
748,641,693,831,761,กำหมัด
749,641,692,831,762,กำหมัด
749,641,693,831,762,กำหมัด
750,642,694,832,762,กำหมัด
752,643,694,832,763,กำหมัด
752,641,692,832,763,กำหมัด
754,636,689,831,763,กำหมัด
754,636,689,832,763,กำหมัด
758,637,689,831,763,กำหมัด
759,638,690,831,764,กำหมัด
762,638,690,831,764,กำหมัด
772,640,692,831,764,กำหมัด
777,640,692,832,765,กำหมัด
784,637,691,832,765,กำหมัด
785,635,691,831,766,กำหมัด
787,639,694,832,767,กำหมัด
791,643,694,832,768,กำหมัด
799,645,695,832,768,กำหมัด
795,647,699,833,769,กำหมัด
794,651,704,835,775,กำหมัด
793,653,704,835,776,กำหมัด
794,657,706,836,777,กำหมัด
790,657,707,836,777,กำหมัด
786,657,706,836,778,กำหมัด
777,653,702,835,777,กำหมัด
764,645,699,835,776,กำหมัด
762,646,699,835,776,กำหมัด
763,648,700,835,776,กำหมัด
768,647,701,835,777,กำหมัด
774,647,701,835,777,กำหมัด
763,646,702,835,777,กำหมัด
761,649,702,835,776,กำหมัด
759,650,701,836,777,กำหมัด
756,649,701,836,777,กำหมัด
757,648,702,835,777,กำหมัด
761,642,700,836,777,กำหมัด
765,642,699,835,776,กำหมัด
763,643,700,835,777,กำหมัด
765,644,700,835,777,กำหมัด
761,645,700,835,777,กำหมัด
753,648,700,835,775,กำหมัด
754,647,701,836,776,กำหมัด
767,647,700,835,776,กำหมัด
